Height (mm);Total slice surface (mm²)
0.06;0.000
0.18;0.000
0.30;0.000
0.42;0.000
0.54;0.000
0.66;0.000
0.78;0.000
0.90;0.000
1.02;0.000
1.14;0.000
1.26;0.000
1.38;0.000
1.50;0.000
1.62;0.000
1.74;0.000
1.86;0.000
1.98;0.000
2.10;0.000
2.22;0.000
2.34;0.000
2.46;0.000
2.58;0.000
2.70;0.000
2.82;0.000
2.94;0.000
3.06;0.000
3.18;0.000
3.30;0.000
3.42;0.000
3.54;0.000
3.66;0.000
3.78;0.000
3.90;0.000
4.02;0.000
4.14;0.000
4.26;0.000
4.38;0.000
4.50;0.000
4.62;0.000
4.74;0.000
4.86;0.000
4.98;0.000
5.10;0.000
5.22;0.000
5.34;0.000
5.46;0.000
5.58;0.000
5.70;0.000
5.82;0.000
5.94;0.000
6.06;0.000
6.18;0.000
6.30;0.000
6.42;0.000
6.54;0.000
6.66;0.000
6.78;0.000
6.90;0.000
7.02;0.000
7.14;0.000
7.26;0.000
7.38;0.000
7.50;0.000
7.62;0.000
7.74;0.000
7.86;0.000
7.98;0.000
8.10;0.000
8.22;0.000
8.34;0.000
8.46;0.000
8.58;0.000
8.70;0.000
8.82;0.000
8.94;0.000
9.06;0.000
9.18;0.000
9.30;0.000
9.42;0.000
9.54;0.000
9.66;0.000
9.78;0.000
9.90;0.000
10.02;0.000
10.14;0.000
10.26;0.000
10.38;0.000
10.50;0.000
10.62;0.000
10.74;0.000
10.86;0.000
10.98;0.000
11.10;0.000
11.22;0.000
11.34;0.000
11.46;0.000
11.58;0.000
11.70;0.000
11.82;0.000
11.94;0.000
12.06;0.000
12.18;0.000
12.30;0.000
12.42;0.000
12.54;0.000
12.66;0.000
12.78;0.000
12.90;0.000
13.02;0.000
13.14;0.000
13.26;0.000
13.38;0.000
13.50;0.000
13.62;0.000
13.74;0.000
13.86;0.000
13.98;0.000
14.10;0.000
14.22;0.000
14.34;0.000
14.46;0.000
14.58;0.000
14.70;0.000
14.82;5.191
14.94;27.505
15.06;50.495
15.18;73.958
15.30;97.810
15.42;121.998
15.54;146.476
15.66;171.232
15.78;196.233
15.90;221.469
16.02;246.912
16.14;272.569
16.26;298.412
16.38;683.025
16.50;730.077
16.62;749.871
16.74;766.122
16.86;780.173
16.98;792.823
17.10;804.513
17.22;815.246
17.34;825.449
17.46;834.887
17.58;843.912
17.70;852.532
17.82;860.629
17.94;868.532
18.06;876.012
18.18;883.206
18.30;890.244
18.42;896.926
18.54;903.404
18.66;909.723
18.78;915.852
18.90;921.680
19.02;927.457
19.14;933.085
19.26;938.425
19.38;1281.887
19.50;1287.771
19.62;1293.843
19.74;1299.955
19.86;1306.171
19.98;1312.519
20.10;1318.845
20.22;1325.149
20.34;1345.521
20.46;1374.570
20.58;1404.212
20.70;1434.250
20.82;1464.665
20.94;1495.453
21.06;1526.598
21.18;1557.895
21.30;1589.497
21.42;1621.782
21.54;1654.544
21.66;1687.866
21.78;1724.462
21.90;1768.631
22.02;1807.061
22.14;1834.373
22.26;1867.468
22.38;1901.858
22.50;1944.759
22.62;1997.430
22.74;2053.399
22.86;2122.642
22.98;2193.283
23.10;2265.135
23.22;2334.639
23.34;2402.651
23.46;2469.780
23.58;2539.628
23.70;2613.966
23.82;2702.252
23.94;2791.139
24.06;2880.627
24.18;2970.678
24.30;3061.230
24.42;3152.371
24.54;3244.093
24.66;3336.434
24.78;3429.377
24.90;3522.904
25.02;3616.985
25.14;3709.774
25.26;3800.946
25.38;3891.786
25.50;3986.131
25.62;4081.084
25.74;4176.037
25.86;4271.044
25.98;4366.094
26.10;4461.221
26.22;4551.020
26.34;4629.442
26.46;4706.758
26.58;4777.890
26.70;4837.830
26.82;4899.090
26.94;4958.320
27.06;5016.059
27.18;5072.537
27.30;5126.416
27.42;5174.995
27.54;5222.741
27.66;5269.606
27.78;5315.389
27.90;5360.496
28.02;5404.825
28.14;5447.218
28.26;5487.461
28.38;5526.820
28.50;5565.413
28.62;5603.184
28.74;5640.076
28.86;5676.010
28.98;5710.610
29.10;5736.806
29.22;5760.256
29.34;5781.684
29.46;5801.340
29.58;5819.772
29.70;5836.976
29.82;5852.791
29.94;5867.358
30.06;5880.760
30.18;5890.645
30.30;5896.193
30.42;5900.294
30.54;5905.141
30.66;5910.938
30.78;5911.241
30.90;5908.018
31.02;5906.382
31.14;5906.728
31.26;5908.348
31.38;5910.308
31.50;5912.698
31.62;5915.478
31.74;5918.595
31.86;5922.684
31.98;5927.639
32.10;5933.142
32.22;5939.132
32.34;5945.434
32.46;5951.682
32.58;5957.100
32.70;5962.520
32.82;5970.295
32.94;5990.910
33.06;6020.408
33.18;6053.335
33.30;6089.233
33.42;6127.886
33.54;6169.223
33.66;6213.592
33.78;6266.633
33.90;6328.961
34.02;6396.513
34.14;6467.982
34.26;6539.370
34.38;6609.898
34.50;6682.073
34.62;6756.600
34.74;6830.498
34.86;6903.190
34.98;6973.630
35.10;7041.772
35.22;7107.337
35.34;7171.518
35.46;7233.605
35.58;7297.417
35.70;7370.835
35.82;7442.699
35.94;7512.749
36.06;7581.049
36.18;7648.763
36.30;7715.553
36.42;7781.670
36.54;7847.381
36.66;7912.464
36.78;7966.082
36.90;8016.302
37.02;8067.064
37.14;8119.082
37.26;8173.308
37.38;8227.435
37.50;8280.083
37.62;8331.044
37.74;8376.531
37.86;8420.148
37.98;8464.458
38.10;8509.263
38.22;8554.071
38.34;8599.036
38.46;8645.860
38.58;8694.034
38.70;8741.746
38.82;8787.860
38.94;8836.970
39.06;8888.447
39.18;8938.513
39.30;8983.616
39.42;9028.655
39.54;9073.818
39.66;9117.707
39.78;9145.351
39.90;9169.491
40.02;9238.480
40.14;9294.808
40.26;9343.701
40.38;9388.406
40.50;9431.192
40.62;9470.594
40.74;9508.305
40.86;9546.215
40.98;9579.446
41.10;9610.999
41.22;9642.425
41.34;9672.537
41.46;9699.545
41.58;9729.191
41.70;9759.130
41.82;9792.214
41.94;9821.695
42.06;9849.908
42.18;9873.950
42.30;9893.181
42.42;9912.806
42.54;9937.893
42.66;9962.223
42.78;9986.392
42.90;10013.310
43.02;10043.550
43.14;10072.492
43.26;10100.142
43.38;10127.705
43.50;10156.879
43.62;10186.507
43.74;10216.494
43.86;10248.904
43.98;10305.048
44.10;10363.540
44.22;10413.108
44.34;10460.423
44.46;10507.446
44.58;10554.219
44.70;10600.087
44.82;10647.512
44.94;10697.951
45.06;10752.353
45.18;10819.866
45.30;10553.222
45.42;10626.551
45.54;10696.519
45.66;10767.881
45.78;10838.237
45.90;10909.439
46.02;10981.154
46.14;11052.316
46.26;11116.526
46.38;11179.049
46.50;11244.058
46.62;11311.302
46.74;11374.669
46.86;11418.414
46.98;11460.743
47.10;11504.249
47.22;11546.360
47.34;11609.850
47.46;11677.950
47.58;11744.128
47.70;11808.319
47.82;11869.256
47.94;11922.301
48.06;11943.412
48.18;11975.594
48.30;12005.051
48.42;12033.671
48.54;12062.236
48.66;12095.513
48.78;12129.405
48.90;12161.920
49.02;12187.752
49.14;12207.318
49.26;12219.184
49.38;12231.729
49.50;12250.280
49.62;12267.205
49.74;12284.693
49.86;12304.283
49.98;12311.922
50.10;12318.775
50.22;12328.651
50.34;12853.806
50.46;12870.500
50.58;12889.285
50.70;12908.559
50.82;12929.781
50.94;12947.295
51.06;12956.975
51.18;12965.721
51.30;12973.441
51.42;12981.489
51.54;12996.328
51.66;13014.634
51.78;13033.378
51.90;13022.819
52.02;13040.449
52.14;13042.415
52.26;12975.656
52.38;12930.755
52.50;12889.188
52.62;12848.567
52.74;12815.246
52.86;12778.237
52.98;12737.141
53.10;12689.957
53.22;12646.574
53.34;12573.038
53.46;12532.461
53.58;12496.071
53.70;12457.312
53.82;12432.796
53.94;12416.939
54.06;12381.718
54.18;12340.184
54.30;12302.568
54.42;12266.962
54.54;12233.206
54.66;12188.054
54.78;12148.216
54.90;12116.073
55.02;12090.557
55.14;12067.078
55.26;12043.680
55.38;12025.477
55.50;12006.790
55.62;11976.131
55.74;11952.802
55.86;11931.129
55.98;11928.199
56.10;11897.221
56.22;11832.032
56.34;11778.637
56.46;11794.150
56.58;11758.736
56.70;11724.318
56.82;11689.828
56.94;11632.032
57.06;11593.337
57.18;11564.646
57.30;11535.662
57.42;11498.254
57.54;11460.665
57.66;11425.909
57.78;11389.305
57.90;11359.986
58.02;11326.970
58.14;11288.023
58.26;11249.797
58.38;11211.276
58.50;11167.948
58.62;11126.502
58.74;11066.215
58.86;10998.722
58.98;10932.417
59.10;10862.157
59.22;10790.651
59.34;10715.753
59.46;10645.044
59.58;10578.586
59.70;10521.167
59.82;10464.736
59.94;10396.737
60.06;10358.844
60.18;10343.865
60.30;10333.901
60.42;10310.876
60.54;10272.899
60.66;10234.694
60.78;10195.614
60.90;10148.069
61.02;10100.563
61.14;10052.673
61.26;10003.444
61.38;9952.818
61.50;9901.828
61.62;9852.393
61.74;9804.854
61.86;9758.690
61.98;9713.784
62.10;9670.888
62.22;9638.035
62.34;9600.007
62.46;9559.248
62.58;9518.182
62.70;9477.303
62.82;9436.233
62.94;9391.972
63.06;9347.359
63.18;9303.356
63.30;9258.762
63.42;9213.617
63.54;9167.618
63.66;9118.993
63.78;9065.761
63.90;9001.160
64.02;8934.535
64.14;8900.505
64.26;8858.712
64.38;8815.828
64.50;8777.289
64.62;8733.318
64.74;8687.624
64.86;8640.513
64.98;8591.475
65.10;8540.226
65.22;8475.350
65.34;8403.826
65.46;8331.276
65.58;8255.785
65.70;8179.746
65.82;8102.965
65.94;8025.246
66.06;7945.078
66.18;7855.791
66.30;7793.078
66.42;7732.640
66.54;7672.471
66.66;7612.835
66.78;7552.348
66.90;7490.633
67.02;7428.599
67.14;7366.286
67.26;7303.776
67.38;7240.891
67.50;7173.644
67.62;7105.439
67.74;7036.633
67.86;6966.225
67.98;6893.171
68.10;6814.679
68.22;6732.385
68.34;6671.222
68.46;6611.244
68.58;6553.265
68.70;6496.746
68.82;6441.881
68.94;6389.010
69.06;6338.756
69.18;6289.818
69.30;6241.651
69.42;6195.139
69.54;6150.414
69.66;6107.647
69.78;6067.127
69.90;6029.706
70.02;6004.308
70.14;5990.875
70.26;5976.842
70.38;5962.243
70.50;5946.794
70.62;5930.487
70.74;5913.303
70.86;5894.532
70.98;5874.647
71.10;5854.229
71.22;5833.343
71.34;5812.040
71.46;5789.106
71.58;5765.845
71.70;5744.174
71.82;5724.424
71.94;5707.971
72.06;5697.511
72.18;5706.711
72.30;5678.369
72.42;5650.130
72.54;5622.117
72.66;5594.354
72.78;5566.067
72.90;5537.510
73.02;5508.864
73.14;5479.924
73.26;5450.485
73.38;5420.169
73.50;5389.590
73.62;5362.353
73.74;5335.508
73.86;5308.457
73.98;5281.623
74.10;5254.596
74.22;5227.797
74.34;5200.780
74.46;5173.897
74.58;5143.756
74.70;5112.886
74.82;5082.321
74.94;5051.606
75.06;5020.981
75.18;4991.083
75.30;4954.250
75.42;4913.959
75.54;4876.872
75.66;4840.683
75.78;4805.660
75.90;4772.644
76.02;4743.826
76.14;4731.938
76.26;4696.007
76.38;4642.297
76.50;4587.030
76.62;4530.872
76.74;4474.617
76.86;4418.249
76.98;4361.703
77.10;4305.078
77.22;4247.802
77.34;4188.530
77.46;4121.977
77.58;4055.507
77.70;3988.931
77.82;3920.390
77.94;3848.958
78.06;3264.599
78.18;3191.919
78.30;3118.358
78.42;3045.438
78.54;2976.277
78.66;2909.459
78.78;2839.371
78.90;2769.509
79.02;2700.567
79.14;2632.724
79.26;2566.144
79.38;2505.527
79.50;2449.641
79.62;2394.117
79.74;2338.910
79.86;2276.206
79.98;2209.910
80.10;2145.126
80.22;2082.046
80.34;2020.707
80.46;1961.890
80.58;1904.317
80.70;1847.704
80.82;1792.045
80.94;1737.542
81.06;1686.649
81.18;1640.444
81.30;1601.700
81.42;1564.063
81.54;1532.702
81.66;1510.076
81.78;1487.653
81.90;1465.482
82.02;1443.666
82.14;1422.200
82.26;1400.876
82.38;1380.386
82.50;1364.272
82.62;1351.513
82.74;1338.358
82.86;1324.953
82.98;1311.304
83.10;1297.254
83.22;1286.636
83.34;1276.614
83.46;1266.030
83.58;1254.487
83.70;1233.168
83.82;1211.691
83.94;1189.969
84.06;1168.219
84.18;1146.105
84.30;1123.812
84.42;1101.237
84.54;1078.200
84.66;1054.841
84.78;1030.757
84.90;1005.975
85.02;980.226
85.14;952.632
85.26;922.242
85.38;874.620
85.50;248.131
85.62;218.646
85.74;189.737
85.86;161.491
85.98;134.010
86.10;109.167
86.22;92.723
86.34;76.621
86.46;60.884
86.58;45.562
86.70;30.717
86.82;16.457
86.94;3.013
87.06;0.000
87.18;0.000
87.30;0.000
87.42;0.000
87.54;0.000
87.66;0.000
87.78;0.000
87.90;0.000
88.02;0.000
88.14;0.000
88.26;0.000
88.38;0.000
88.50;0.000
88.62;0.000
88.74;0.000
88.86;0.000
88.98;0.000
89.10;0.000
89.22;0.000
89.34;0.000
89.46;0.000
89.58;0.000
89.70;0.000
89.82;0.000
89.94;0.000
90.06;0.000
90.18;0.000
90.30;0.000
90.42;0.000
90.54;0.000
90.66;0.000
90.78;0.000
90.90;0.000
91.02;0.000
91.14;0.000
91.26;0.000
91.38;0.000
91.50;0.000
91.62;0.000
91.74;0.000
91.86;0.000
91.98;0.000
92.10;0.000
92.22;0.000
92.34;0.000
92.46;0.000
92.58;0.000
92.70;0.000
92.82;0.000
92.94;0.000
93.06;0.000
93.18;0.000
93.30;0.000
93.42;0.000
93.54;0.000
93.66;0.000
93.78;0.000
93.90;0.000
94.02;0.000
94.14;0.000
94.26;0.000
94.38;0.000
94.50;0.000
94.62;0.000
94.74;0.000
94.86;0.000
94.98;0.000
95.10;0.000
95.22;0.000
95.34;0.000
95.46;0.000
95.58;0.000
95.70;0.000
95.82;0.000
95.94;0.000
96.06;0.000
96.18;0.000
96.30;0.000
96.42;0.000
96.54;0.000
96.66;0.000
96.78;0.000
96.90;0.000
97.02;0.000
97.14;0.000
97.26;0.000
97.38;0.000
97.50;0.000
97.62;0.000
97.74;0.000
97.86;0.000
97.98;0.000
98.10;0.000
98.22;0.000
98.34;0.000
98.46;0.000
98.58;0.000
98.70;0.000
98.82;0.000
98.94;0.000
99.06;0.000
99.18;0.000
99.30;0.000
99.42;0.000
99.54;0.000
99.66;0.000
99.78;0.000
99.90;0.000
100.02;0.000
100.14;0.000
100.26;0.000
100.38;0.000
100.50;0.000
100.62;0.000
100.74;0.000
100.86;0.000
100.98;0.000
101.10;0.000
101.22;0.000
101.34;0.000
101.46;0.000
101.58;0.000
101.70;0.000
101.82;0.000
101.94;0.000
102.06;0.000
102.18;0.000
102.30;0.000
102.42;0.000
102.54;0.000
102.66;0.000
102.78;0.000
102.90;0.000
103.02;0.000
103.14;0.000
103.26;0.000
103.38;0.000
103.50;0.000
103.62;0.000
103.74;0.000
103.86;0.000
103.98;0.000
104.10;0.000
104.22;0.000
104.34;0.000
104.46;0.000
104.58;0.000
104.70;0.000
104.82;0.000
104.94;0.000
105.06;0.000
105.18;0.000
105.30;0.000
105.42;0.000
105.54;0.000
105.66;0.000
105.78;0.000
105.90;0.000
106.02;0.000
106.14;0.000
106.26;0.000
106.38;0.000
106.50;0.000
106.62;0.000
106.74;0.000
