Height (mm);Total slice surface (mmý)
0.060;0.000
0.180;0.000
0.300;0.000
0.420;0.000
0.540;0.000
0.660;0.000
0.780;0.000
0.900;0.000
1.020;0.000
1.140;0.000
1.260;0.000
1.380;0.000
1.500;0.000
1.620;0.000
1.740;0.000
1.860;0.000
1.980;0.000
2.100;0.000
2.220;0.000
2.340;0.000
2.460;0.000
2.580;0.000
2.700;0.000
2.820;0.000
2.940;0.000
3.060;0.000
3.180;0.000
3.300;0.000
3.420;0.000
3.540;0.000
3.660;0.000
3.780;0.000
3.900;0.000
4.020;0.000
4.140;0.000
4.260;0.000
4.380;0.000
4.500;0.000
4.620;0.000
4.740;0.000
4.860;0.000
4.980;0.000
5.100;0.000
5.220;0.000
5.340;0.000
5.460;0.000
5.580;0.000
5.700;0.000
5.820;0.000
5.940;0.000
6.060;0.000
6.180;0.000
6.300;0.000
6.420;0.000
6.540;0.000
6.660;0.000
6.780;0.000
6.900;0.000
7.020;0.000
7.140;0.000
7.260;0.000
7.380;0.000
7.500;0.000
7.620;0.000
7.740;0.000
7.860;0.000
7.980;0.000
8.100;0.000
8.220;0.000
8.340;0.000
8.460;0.000
8.580;0.000
8.700;0.000
8.820;0.000
8.940;0.000
9.060;0.000
9.180;0.000
9.300;0.000
9.420;0.000
9.540;0.000
9.660;0.000
9.780;0.000
9.900;0.000
10.020;0.000
10.140;0.000
10.260;0.000
10.380;0.000
10.500;0.000
10.620;0.000
10.740;0.000
10.860;0.000
10.980;0.000
11.100;0.000
11.220;0.000
11.340;0.000
11.460;0.000
11.580;0.000
11.700;0.000
11.820;0.000
11.940;0.000
12.060;0.000
12.180;0.000
12.300;0.000
12.420;0.000
12.540;0.000
12.660;0.000
12.780;0.000
12.900;0.000
13.020;0.000
13.140;0.000
13.260;0.000
13.380;0.000
13.500;0.000
13.620;0.000
13.740;0.000
13.860;0.000
13.980;0.000
14.100;0.000
14.220;0.000
14.340;0.000
14.460;0.000
14.580;0.000
14.700;0.000
14.820;0.000
14.940;0.000
15.060;0.000
15.180;0.000
15.300;0.000
15.420;0.000
15.540;17.863
15.660;100.286
15.780;185.159
15.900;271.744
16.020;311.853
16.140;317.561
16.260;322.273
16.380;684.984
16.500;709.538
16.620;728.183
16.740;743.881
16.860;757.512
16.980;769.845
17.100;781.250
17.220;791.752
17.340;801.740
17.460;810.978
17.580;819.844
17.700;828.296
17.820;836.246
17.940;844.011
18.060;851.364
18.180;858.439
18.300;865.365
18.420;871.941
18.540;878.321
18.660;884.552
18.780;890.593
18.900;896.339
19.020;902.469
19.140;909.265
19.260;916.224
19.380;1261.480
19.500;1268.881
19.620;1276.419
19.740;1283.979
19.860;1291.657
19.980;1299.481
20.100;1307.303
20.220;1315.123
20.340;1323.067
20.460;1331.049
20.580;1339.075
20.700;1347.080
20.820;1355.115
20.940;1363.234
21.060;1371.598
21.180;1380.495
21.300;1389.763
21.420;1399.357
21.540;1409.191
21.660;1419.205
21.780;1429.322
21.900;1439.606
22.020;1450.020
22.140;1460.595
22.260;1471.286
22.380;1481.965
22.500;1492.751
22.620;1503.656
22.740;1516.221
22.860;1540.581
22.980;1564.934
23.100;1589.359
23.220;1613.855
23.340;1639.148
23.460;1684.586
23.580;1737.232
23.700;1790.447
23.820;1844.201
23.940;1898.469
24.060;1953.219
24.180;2008.407
24.300;2063.954
24.420;2119.913
24.540;2176.264
24.660;2232.454
24.780;2286.000
24.900;2318.682
25.020;2350.917
25.140;2382.816
25.260;2414.433
25.380;2445.816
25.500;2476.981
25.620;2507.913
25.740;2538.620
25.860;2569.142
25.980;2598.446
26.100;2624.047
26.220;2647.510
26.340;2669.179
26.460;2688.182
26.580;2705.228
26.700;2722.335
26.820;2739.622
26.940;2755.258
27.060;2769.867
27.180;2783.509
27.300;2796.327
27.420;2808.334
27.540;2819.522
27.660;2830.133
27.780;2840.213
27.900;2849.781
28.020;2870.503
28.140;2894.111
28.260;2917.714
28.380;2941.256
28.500;2964.738
28.620;2988.137
28.740;3011.413
28.860;3034.609
28.980;3057.738
29.100;3080.801
29.220;3110.267
29.340;3154.331
29.460;3197.790
29.580;3240.789
29.700;3283.400
29.820;3325.633
29.940;3370.515
30.060;3422.749
30.180;3477.023
30.300;3532.704
30.420;3588.953
30.540;3646.089
30.660;3703.502
30.780;3754.580
30.900;3798.240
31.020;3842.070
31.140;3887.492
31.260;3920.280
31.380;3953.643
31.500;3987.649
31.620;4022.274
31.740;4057.521
31.860;4093.210
31.980;4128.740
32.100;4164.347
32.220;4200.002
32.340;4236.088
32.460;4272.872
32.580;4310.762
32.700;4349.847
32.820;4389.895
32.940;4431.121
33.060;4473.667
33.180;4516.178
33.300;4560.358
33.420;4606.432
33.540;4653.796
33.660;4701.491
33.780;4747.558
33.900;4791.381
34.020;4813.797
34.140;4834.064
34.260;4852.962
34.380;4870.786
34.500;4887.737
34.620;4903.948
34.740;4919.393
34.860;4934.192
34.980;4949.132
35.100;4965.105
35.220;4981.696
35.340;4998.723
35.460;5016.093
35.580;5033.774
35.700;5052.856
35.820;5073.105
35.940;5108.118
36.060;5148.016
36.180;5188.930
36.300;5226.428
36.420;5261.818
36.540;5301.421
36.660;5339.812
36.780;5375.466
36.900;5409.457
37.020;5442.953
37.140;5476.139
37.260;5509.325
37.380;5542.660
37.500;5578.785
37.620;5618.067
37.740;5659.692
37.860;5703.077
37.980;5749.362
38.100;5811.113
38.220;5897.534
38.340;5974.484
38.460;6038.792
38.580;6093.491
38.700;6134.444
38.820;6168.732
38.940;6207.604
39.060;6248.500
39.180;6305.848
39.300;6377.283
39.420;6438.655
39.540;6486.591
39.660;6536.699
39.780;6599.028
39.900;6665.442
40.020;6777.769
40.140;6873.039
40.260;6971.907
40.380;7762.708
40.500;7887.990
40.620;7992.746
40.740;8085.541
40.860;8176.821
40.980;8262.104
41.100;8337.491
41.220;8409.021
41.340;8494.056
41.460;8584.554
41.580;8674.084
41.700;8759.750
41.820;8843.041
41.940;8929.374
42.060;9018.314
42.180;9111.378
42.300;9203.401
42.420;9299.363
42.540;9403.857
42.660;9505.875
42.780;9602.032
42.900;9689.914
43.020;9767.162
43.140;9842.971
43.260;9926.818
43.380;10123.393
43.500;10208.237
43.620;10294.573
43.740;10381.275
43.860;10470.672
43.980;10597.681
44.100;10726.574
44.220;10845.650
44.340;10959.116
44.460;11068.281
44.580;11184.673
44.700;11294.822
44.820;11402.096
44.940;11500.463
45.060;11595.325
45.180;11688.122
45.300;11440.809
45.420;11527.872
45.540;11614.895
45.660;11702.795
45.780;11794.215
45.900;11863.861
46.020;11931.499
46.140;12014.388
46.260;12083.604
46.380;12165.810
46.500;12259.054
46.620;12354.570
46.740;12441.950
46.860;12517.724
46.980;12596.006
47.100;12678.137
47.220;12758.445
47.340;12845.081
47.460;12942.231
47.580;13051.737
47.700;13152.234
47.820;13249.277
47.940;13346.376
48.060;13417.080
48.180;13500.295
48.300;13570.488
48.420;14212.508
48.540;14282.087
48.660;14351.567
48.780;14417.564
48.900;14484.386
49.020;14549.767
49.140;14610.092
49.260;14663.810
49.380;14705.435
49.500;14738.982
49.620;14773.094
49.740;14809.854
49.860;14847.029
49.980;14871.101
50.100;14891.851
50.220;14914.497
50.340;15464.766
50.460;15531.686
50.580;15597.000
50.700;15661.889
50.820;15726.283
50.940;15787.705
51.060;15833.331
51.180;15870.792
51.300;15905.375
51.420;15937.103
51.540;15961.420
51.660;15976.369
51.780;15990.187
51.900;16003.912
52.020;16009.415
52.140;16007.387
52.260;15954.929
52.380;15933.553
52.500;15941.842
52.620;15955.794
52.740;15978.454
52.860;16001.619
52.980;16014.628
53.100;16027.634
53.220;16041.167
53.340;16055.424
53.460;16141.103
53.580;16250.606
53.700;16357.653
53.820;16459.409
53.940;16560.342
54.060;16631.019
54.180;16682.638
54.300;16735.108
54.420;16784.743
54.540;16832.885
54.660;16889.899
54.780;16959.247
54.900;17023.719
55.020;17104.195
55.140;17185.567
55.260;17245.719
55.380;17273.806
55.500;17296.204
55.620;17322.463
55.740;17438.425
55.860;17469.032
55.980;17505.218
56.100;17523.638
56.220;17507.801
56.340;17499.957
56.460;20458.755
56.580;20467.928
56.700;20468.914
56.820;20473.871
56.940;20478.987
57.060;20467.564
57.180;20447.669
57.300;20426.129
57.420;20412.034
57.540;20403.430
57.660;20406.481
57.780;20404.106
57.900;20420.681
58.020;20402.290
58.140;20368.029
58.260;20363.412
58.380;20291.418
58.500;20180.862
58.620;20070.891
58.740;19969.226
58.860;19849.858
58.980;19732.107
59.100;19615.338
59.220;19507.337
59.340;19387.700
59.460;19209.534
59.580;19000.861
59.700;18776.309
59.820;18546.338
59.940;18293.173
60.060;18076.570
60.180;17905.787
60.300;17706.068
60.420;17500.367
60.540;17300.624
60.660;17108.737
60.780;16960.259
60.900;16690.881
61.020;16553.002
61.140;16394.736
61.260;16218.109
61.380;10656.400
61.500;10477.449
61.620;10300.329
61.740;10124.861
61.860;9955.689
61.980;9791.307
62.100;9629.828
62.220;9483.654
62.340;9321.801
62.460;9140.480
62.580;8960.710
62.700;8783.464
62.820;8607.821
62.940;8432.791
63.060;8258.995
63.180;8087.123
63.300;7888.586
63.420;7718.964
63.540;7550.016
63.660;7381.313
63.780;7211.290
63.900;7033.556
64.020;6854.834
64.140;6714.647
64.260;6574.808
64.380;6455.962
64.500;6381.466
64.620;6305.607
64.740;6229.119
64.860;6152.291
64.980;6075.123
65.100;5998.329
65.220;5921.407
65.340;5844.338
65.460;5767.175
65.580;5689.911
65.700;5612.400
65.820;5534.418
65.940;5455.850
66.060;5375.079
66.180;5285.210
66.300;5215.410
66.420;5146.572
66.540;5078.716
66.660;5011.975
66.780;4946.708
66.900;4882.912
67.020;4821.062
67.140;4761.689
67.260;4713.620
67.380;4684.196
67.500;4654.287
67.620;4623.773
67.740;5398.690
67.860;5366.317
67.980;5331.821
68.100;5291.732
68.220;5247.486
68.340;5251.743
68.460;5228.351
68.580;5206.593
68.700;5186.092
68.820;5170.736
68.940;5157.956
69.060;5145.459
69.180;5134.018
69.300;5126.512
69.420;5121.138
69.540;5116.832
69.660;5112.970
69.780;5109.527
69.900;5107.092
70.020;5105.810
70.140;5105.568
70.260;5106.521
70.380;5105.235
70.500;5101.817
70.620;5089.339
70.740;5077.224
70.860;5065.256
70.980;5053.688
71.100;5042.476
71.220;5031.651
71.340;5021.486
71.460;5011.897
71.580;5003.137
71.700;4995.591
71.820;4989.523
71.940;4986.307
72.060;4989.126
72.180;5011.656
72.300;4996.449
72.420;4977.124
72.540;4958.030
72.660;4939.217
72.780;4919.870
72.900;4900.597
73.020;4881.430
73.140;4862.231
73.260;4842.946
73.380;4823.640
73.500;4804.461
73.620;4785.231
73.740;4766.251
73.860;4747.201
73.980;4728.435
74.100;4709.579
74.220;4691.120
74.340;4672.646
74.460;4654.606
74.580;4636.746
74.700;4619.294
74.820;4602.258
74.940;4585.780
75.060;4574.990
75.180;4570.645
75.300;4566.130
75.420;4561.604
75.540;4557.177
75.660;4552.933
75.780;4521.240
75.900;4518.406
76.020;4519.220
76.140;4536.667
76.260;4529.757
76.380;4504.793
76.500;4477.997
76.620;4450.059
76.740;4422.518
76.860;4394.926
76.980;4366.944
77.100;4338.595
77.220;4309.930
77.340;4280.971
77.460;4251.690
77.580;4222.084
77.700;4192.077
77.820;4869.595
77.940;4838.984
78.060;4297.491
78.180;4269.249
78.300;4239.527
78.420;4209.853
78.540;4180.457
78.660;4153.101
78.780;4128.304
78.900;4104.256
79.020;4080.891
79.140;4058.318
79.260;4036.573
79.380;4015.673
79.500;3995.654
79.620;3976.469
79.740;3958.220
79.860;3940.957
79.980;3924.387
80.100;3908.374
80.220;3892.936
80.340;3692.435
80.460;3657.474
80.580;3628.575
80.700;3602.690
80.820;2229.558
80.940;2203.723
81.060;2176.121
81.180;2150.149
81.300;2124.970
81.420;2100.783
81.540;2077.722
81.660;2055.396
81.780;2034.164
81.900;2008.020
82.020;1970.000
82.140;1931.972
82.260;1895.255
82.380;1859.854
82.500;3122.932
