Height (mm);Total slice surface (mm²)
0.06;0.000
0.18;0.000
0.30;0.000
0.42;0.000
0.54;0.000
0.66;0.000
0.78;0.000
0.90;0.000
1.02;0.000
1.14;0.000
1.26;0.000
1.38;0.000
1.50;0.000
1.62;0.000
1.74;0.000
1.86;0.000
1.98;0.000
2.10;0.000
2.22;0.000
2.34;0.000
2.46;0.000
2.58;0.000
2.70;0.000
2.82;0.000
2.94;0.000
3.06;0.000
3.18;0.000
3.30;0.000
3.42;0.000
3.54;0.000
3.66;0.000
3.78;0.000
3.90;0.000
4.02;0.000
4.14;0.000
4.26;0.000
4.38;0.000
4.50;0.000
4.62;0.000
4.74;0.000
4.86;0.000
4.98;0.000
5.10;0.000
5.22;0.000
5.34;0.000
5.46;0.000
5.58;0.000
5.70;0.000
5.82;0.000
5.94;138.149
6.06;447.077
6.18;740.738
6.30;1045.846
6.42;1344.109
6.54;1659.911
6.66;1943.705
6.78;2249.886
6.90;2559.142
7.02;2841.842
7.14;3139.348
7.26;3451.660
7.38;3740.432
7.50;4025.230
7.62;4320.473
7.74;4626.169
7.86;4920.006
7.98;5199.420
8.10;5486.550
8.22;5781.402
8.34;6083.966
8.46;6368.851
8.58;6645.706
8.70;6928.456
8.82;7217.097
8.94;7511.627
9.06;7806.247
9.18;8076.817
9.30;8352.004
9.42;8631.798
9.54;8916.202
9.66;9205.214
9.78;9496.338
9.90;9762.512
10.02;10032.361
10.14;10305.893
10.26;10583.095
10.38;10863.979
10.50;11148.547
10.62;11425.449
10.74;11687.936
10.86;11953.399
10.98;12221.848
11.10;12493.276
11.22;12767.681
11.34;13045.071
11.46;13322.373
11.58;13578.738
11.70;13837.559
11.82;14098.817
11.94;14362.514
12.06;14628.657
12.18;14897.244
12.30;15168.272
12.42;15435.293
12.54;15686.191
12.66;15939.117
12.78;16194.064
12.90;16451.032
13.02;16710.021
13.14;16971.039
13.26;17234.075
13.38;17499.135
13.50;17746.518
13.62;17992.010
13.74;18239.185
13.86;18488.042
13.98;18738.597
14.10;18990.827
14.22;19244.749
14.34;19500.352
14.46;19757.643
14.58;19997.342
14.70;20235.852
14.82;20475.783
14.94;20717.130
15.06;20959.885
15.18;21204.053
15.30;21449.639
15.42;21696.641
15.54;21945.056
15.66;22186.920
15.78;22417.317
15.90;22648.917
16.02;22881.707
16.14;23115.681
16.26;23350.850
16.38;23587.206
16.50;23824.751
16.62;24063.484
16.74;24303.413
16.86;24537.219
16.98;24759.780
17.10;24983.348
17.22;25207.910
17.34;25433.486
17.46;25660.066
17.58;25887.653
17.70;26116.239
17.82;26345.826
17.94;26576.422
18.06;26808.024
18.18;27024.444
18.30;27239.133
18.42;27454.687
18.54;27671.081
18.66;27888.330
18.78;28106.418
18.90;28325.365
19.02;28545.151
19.14;28765.804
19.26;28987.288
19.38;29209.628
19.50;29417.122
19.62;29623.064
19.74;29829.725
19.86;30037.111
19.98;30245.207
20.10;30454.024
20.22;30663.558
20.34;30873.810
20.46;31084.780
20.58;31296.464
20.70;31508.879
20.82;31714.690
20.94;31911.189
21.06;32108.298
21.18;32305.999
21.30;32504.323
21.42;32703.240
21.54;32902.776
21.66;33102.920
21.78;33303.660
21.90;33505.010
22.02;33706.973
22.14;33909.539
22.26;34103.844
22.38;34290.944
22.50;34478.552
22.62;34666.665
22.74;34855.303
22.86;35044.444
22.98;35234.092
23.10;35424.263
23.22;35614.942
23.34;35806.130
23.46;35997.835
23.58;36190.036
23.70;36379.168
23.82;36556.266
23.94;36733.794
24.06;36911.762
24.18;37090.158
24.30;37268.974
24.42;37448.218
24.54;37627.909
24.66;37808.011
24.78;37988.554
24.90;38169.534
25.02;38350.933
25.14;38532.764
25.26;38706.936
25.38;38873.958
25.50;39041.344
25.62;39209.068
25.74;39377.179
25.86;39545.633
25.98;39714.449
26.10;39883.618
26.22;40053.153
26.34;40223.058
26.46;40393.311
26.58;40563.931
26.70;40734.894
26.82;40899.627
26.94;41056.103
27.06;41212.879
27.18;41369.953
27.30;41527.321
27.42;41684.991
27.54;41842.959
27.66;42001.227
27.78;42159.791
27.90;42318.661
28.02;42477.823
28.14;42637.279
28.26;42797.055
28.38;42957.099
28.50;43102.691
28.62;43248.491
28.74;43394.558
28.86;43540.861
28.98;43687.400
29.10;43834.205
29.22;43981.237
29.34;44128.519
29.46;44276.054
29.58;44423.838
29.70;44571.854
29.82;44720.126
29.94;44868.649
30.06;45014.008
30.18;45148.542
30.30;45283.280
30.42;45418.211
30.54;45553.341
30.66;45688.679
30.78;45824.211
30.90;45959.956
31.02;46095.889
31.14;46232.025
31.26;46368.369
31.38;46504.899
31.50;46641.644
31.62;46778.588
31.74;46913.373
31.86;47036.540
31.98;47159.867
32.10;47283.356
32.22;47407.013
32.34;47530.826
32.46;47654.807
32.58;47778.945
32.70;47903.238
32.82;48027.701
32.94;48152.320
33.06;48277.113
33.18;48402.060
33.30;48527.163
33.42;48652.433
33.54;48766.479
33.66;48878.143
33.78;48989.933
33.90;49101.837
34.02;49213.879
34.14;49326.044
34.26;49438.350
34.38;49550.766
34.50;49663.319
34.62;49776.002
34.74;49888.815
34.86;50001.746
34.98;50114.812
35.10;50227.997
35.22;50338.398
35.34;50438.168
35.46;50538.054
35.58;50638.035
35.70;50738.112
35.82;50838.281
35.94;50938.551
36.06;51038.936
36.18;51139.406
36.30;51239.967
36.42;51340.636
36.54;51441.407
36.66;51542.281
36.78;51643.240
36.90;51744.303
37.02;51840.344
37.14;51928.128
37.26;52015.977
37.38;52103.914
37.50;52191.930
37.62;52279.992
37.74;52368.150
37.86;52456.379
37.98;52544.678
38.10;52633.066
38.22;52721.509
38.34;52810.038
38.46;52898.640
38.58;52987.319
38.70;53076.059
38.82;53160.306
38.94;53235.899
39.06;53311.531
39.18;53387.222
39.30;53462.956
39.42;53538.753
39.54;53614.607
39.66;53690.516
39.78;53766.482
39.90;53842.484
40.02;53918.549
40.14;53994.673
40.26;54070.842
40.38;54147.084
40.50;54223.358
40.62;54297.970
40.74;54361.212
40.86;54424.492
40.98;54487.803
41.10;54551.155
41.22;54614.550
41.34;54677.974
41.46;54741.442
41.58;54804.936
41.70;54868.474
41.82;54932.048
41.94;54995.653
42.06;55059.304
42.18;55122.986
42.30;55186.707
42.42;55250.467
42.54;55304.257
42.66;55355.024
42.78;55405.839
42.90;55456.677
43.02;55507.505
43.14;55558.390
43.26;55609.285
43.38;55660.208
43.50;55711.151
43.62;55762.121
43.74;55813.108
43.86;55864.126
43.98;55915.162
44.10;55966.217
44.22;56017.308
44.34;56064.774
44.46;56102.956
44.58;56141.136
44.70;56179.346
44.82;56217.566
44.94;56255.799
45.06;56294.033
45.18;56332.280
45.30;56370.566
45.42;56408.843
45.54;56447.130
45.66;56485.446
45.78;56523.760
45.90;56562.092
46.02;56600.436
46.14;56638.803
46.26;56668.217
46.38;56693.742
46.50;56719.286
46.62;56744.813
46.74;56770.368
46.86;56795.919
46.98;56821.474
47.10;56847.055
47.22;56872.615
47.34;56898.187
47.46;56923.770
47.58;56949.362
47.70;56974.948
47.82;57000.554
47.94;57026.152
48.06;57051.193
48.18;57063.961
48.30;57076.735
48.42;57089.524
48.54;57102.306
48.66;57115.082
48.78;57127.868
48.90;57140.664
49.02;57153.444
49.14;57166.243
49.26;57179.048
49.38;57191.825
49.50;57204.628
49.62;57217.422
49.74;57230.227
49.86;57243.012
49.98;57251.293
50.10;57251.293
50.22;57251.292
50.34;57251.294
50.46;57251.294
50.58;57251.292
50.70;57251.293
50.82;57251.293
50.94;57251.293
51.06;57251.293
51.18;57251.292
51.30;57251.294
51.42;57251.294
51.54;57251.292
51.66;57251.293
51.78;57251.293
51.90;57243.012
52.02;57230.227
52.14;57217.422
52.26;57204.628
52.38;57191.825
52.50;57179.049
52.62;57166.243
52.74;57153.444
52.86;57140.664
52.98;57127.868
53.10;57115.083
53.22;57102.306
53.34;57089.524
53.46;57076.735
53.58;57063.961
53.70;57051.193
53.82;57026.152
53.94;57000.554
54.06;56974.949
54.18;56949.363
54.30;56923.770
54.42;56898.187
54.54;56872.615
54.66;56847.055
54.78;56821.474
54.90;56795.920
55.02;56770.368
55.14;56744.813
55.26;56719.286
55.38;56693.742
55.50;56668.217
55.62;56638.803
55.74;56600.436
55.86;56562.093
55.98;56523.760
56.10;56485.446
56.22;56447.130
56.34;56408.843
56.46;56370.565
56.58;56332.281
56.70;56294.033
56.82;56255.800
56.94;56217.566
57.06;56179.347
57.18;56141.136
57.30;56102.956
57.42;56064.774
57.54;56017.308
57.66;55966.217
57.78;55915.162
57.90;55864.126
58.02;55813.108
58.14;55762.121
58.26;55711.150
58.38;55660.208
58.50;55609.285
58.62;55558.390
58.74;55507.505
58.86;55456.677
58.98;55405.839
59.10;55355.024
59.22;55304.257
59.34;55250.467
59.46;55186.707
59.58;55122.986
59.70;55059.304
59.82;54995.653
59.94;54932.048
60.06;54868.474
60.18;54804.936
60.30;54741.442
60.42;54677.974
60.54;54614.550
60.66;54551.155
60.78;54487.803
60.90;54424.492
61.02;54361.212
61.14;54297.970
61.26;54223.358
61.38;54147.084
61.50;54070.842
61.62;53994.673
61.74;53918.549
61.86;53842.485
61.98;53766.482
62.10;53690.517
62.22;53614.607
62.34;53538.753
62.46;53462.956
62.58;53387.222
62.70;53311.531
62.82;53235.899
62.94;53160.306
63.06;53076.059
63.18;52987.319
63.30;52898.640
63.42;52810.038
63.54;52721.509
63.66;52633.066
63.78;52544.678
63.90;52456.379
64.02;52368.150
64.14;52279.992
64.26;52191.930
64.38;52103.914
64.50;52015.977
64.62;51928.128
64.74;51840.344
64.86;51744.303
64.98;51643.240
65.10;51542.281
65.22;51441.407
65.34;51340.636
65.46;51239.967
65.58;51139.406
65.70;51038.936
65.82;50938.551
65.94;50838.280
66.06;50738.112
66.18;50638.035
66.30;50538.054
66.42;50438.169
66.54;50338.398
66.66;50227.997
66.78;50114.812
66.90;50001.746
67.02;49888.815
67.14;49776.002
67.26;49663.319
67.38;49550.766
67.50;49438.350
67.62;49326.044
67.74;49213.879
67.86;49101.837
67.98;48989.933
68.10;48878.143
68.22;48766.479
68.34;48652.433
68.46;48527.163
68.58;48402.060
68.70;48277.113
68.82;48152.320
68.94;48027.701
69.06;47903.238
69.18;47778.945
69.30;47654.807
69.42;47530.825
69.54;47407.013
69.66;47283.356
69.78;47159.866
69.90;47036.540
70.02;46913.373
70.14;46778.588
70.26;46641.644
70.38;46504.899
70.50;46368.370
70.62;46232.025
70.74;46095.889
70.86;45959.956
70.98;45824.212
71.10;45688.679
71.22;45553.341
71.34;45418.211
71.46;45283.280
71.58;45148.542
71.70;45014.008
71.82;44868.655
71.94;44720.141
72.06;44571.878
72.18;44423.873
72.30;44276.108
72.42;44128.578
72.54;43981.295
72.66;43834.258
72.78;43687.479
72.90;43540.938
73.02;43394.634
73.14;43248.598
73.26;43102.793
73.38;42957.241
73.50;42797.169
73.62;42637.402
73.74;42477.934
73.86;42318.754
73.98;42159.878
74.10;42001.305
74.22;41843.020
74.34;41685.045
74.46;41527.363
74.58;41369.988
74.70;41212.910
74.82;41056.124
74.94;40899.631
75.06;40734.894
75.18;40563.931
75.30;40393.311
75.42;40223.058
75.54;40053.153
75.66;39883.618
75.78;39714.449
75.90;39545.633
76.02;39377.179
76.14;39209.068
76.26;39041.344
76.38;38873.958
76.50;38706.936
76.62;38532.764
76.74;38350.933
76.86;38169.534
76.98;37988.554
77.10;37808.011
77.22;37627.909
77.34;37448.218
77.46;37268.974
77.58;37090.158
77.70;36911.762
77.82;36733.794
77.94;36556.266
78.06;36379.168
78.18;36190.036
78.30;35997.835
78.42;35806.131
78.54;35614.942
78.66;35424.263
78.78;35234.092
78.90;35044.444
79.02;34855.303
79.14;34666.665
79.26;34478.552
79.38;34290.944
79.50;34103.844
79.62;33909.539
79.74;33706.973
79.86;33505.010
79.98;33303.660
80.10;33102.920
80.22;32902.776
80.34;32703.240
80.46;32504.323
80.58;32306.000
80.70;32108.298
80.82;31911.189
80.94;31714.690
81.06;31508.879
81.18;31296.464
81.30;31084.779
81.42;30873.810
81.54;30663.558
81.66;30454.024
81.78;30245.207
81.90;30037.110
82.02;29829.725
82.14;29623.064
82.26;29417.122
82.38;29209.628
82.50;28987.288
82.62;28765.804
82.74;28545.151
82.86;28325.365
82.98;28106.418
83.10;27888.330
83.22;27671.081
83.34;27454.687
83.46;27239.133
83.58;27024.444
83.70;26808.024
83.82;26576.422
83.94;26345.827
84.06;26116.239
84.18;25887.653
84.30;25660.066
84.42;25433.486
84.54;25207.910
84.66;24983.348
84.78;24759.780
84.90;24537.219
85.02;24303.413
85.14;24063.485
85.26;23824.751
85.38;23587.206
85.50;23350.850
85.62;23115.681
85.74;22881.706
85.86;22648.917
85.98;22417.317
86.10;22186.920
86.22;21945.056
86.34;21696.641
86.46;21449.639
86.58;21204.053
86.70;20959.885
86.82;20717.130
86.94;20475.783
87.06;20235.852
87.18;19997.342
87.30;19757.643
87.42;19500.352
87.54;19244.749
87.66;18990.827
87.78;18738.597
87.90;18488.042
88.02;18239.185
88.14;17992.010
88.26;17746.518
88.38;17499.135
88.50;17234.074
88.62;16971.039
88.74;16710.021
88.86;16451.032
88.98;16194.064
89.10;15939.117
89.22;15686.191
89.34;15435.293
89.46;15168.272
89.58;14897.244
89.70;14628.658
89.82;14362.514
89.94;14098.817
90.06;13837.559
90.18;13578.738
90.30;13322.372
90.42;13045.071
90.54;12767.681
90.66;12493.276
90.78;12221.848
90.90;11953.399
91.02;11687.936
91.14;11425.449
91.26;11148.547
91.38;10863.979
91.50;10583.095
91.62;10305.893
91.74;10032.361
91.86;9762.512
91.98;9496.338
92.10;9205.213
92.22;8916.202
92.34;8631.798
92.46;8352.004
92.58;8076.817
92.70;7806.247
92.82;7511.627
92.94;7217.097
93.06;6928.456
93.18;6645.706
93.30;6368.851
93.42;6083.966
93.54;5781.403
93.66;5486.550
93.78;5199.420
93.90;4920.006
94.02;4626.169
94.14;4320.473
94.26;4025.230
94.38;3740.432
94.50;3451.660
94.62;3139.348
94.74;2841.842
94.86;2559.142
94.98;2249.886
95.10;1943.705
95.22;1659.911
95.34;1344.109
95.46;1045.846
95.58;740.738
95.70;447.077
95.82;138.149
95.94;0.000
96.06;0.000
96.18;0.000
96.30;0.000
96.42;0.000
96.54;0.000
96.66;0.000
96.78;0.000
96.90;0.000
97.02;0.000
97.14;0.000
97.26;0.000
97.38;0.000
97.50;0.000
97.62;0.000
97.74;0.000
97.86;0.000
97.98;0.000
98.10;0.000
98.22;0.000
98.34;0.000
98.46;0.000
98.58;0.000
98.70;0.000
98.82;0.000
98.94;0.000
99.06;0.000
99.18;0.000
99.30;0.000
99.42;0.000
99.54;0.000
99.66;0.000
99.78;0.000
99.90;0.000
100.02;0.000
100.14;0.000
100.26;0.000
100.38;0.000
100.50;0.000
100.62;0.000
100.74;0.000
100.86;0.000
100.98;0.000
101.10;0.000
101.22;0.000
101.34;0.000
101.46;0.000
101.58;0.000
101.70;0.000
101.82;0.000
101.94;0.000
102.06;0.000
102.18;0.000
102.30;0.000
102.42;0.000
102.54;0.000
102.66;0.000
102.78;0.000
102.90;0.000
103.02;0.000
103.14;0.000
103.26;0.000
103.38;0.000
103.50;0.000
103.62;0.000
103.74;0.000
